year,mean,lower,upper
1,3.7455546719096513,3.609711442802189,3.8763397283393024
2,3.6790446555546885,3.483261617930466,3.8527040605102933
3,3.613835215669469,3.354865470245823,3.8338237670232855
4,3.5753907711035473,3.2822303474011454,3.8220231782747716
5,3.5386707652282223,3.2077371170129805,3.812117445770577
6,3.4999533887510212,3.1336671823580744,3.8059849638299412
7,3.4610839811620315,3.06167700553292,3.805092701590925
8,3.417230236412441,2.9780722327428366,3.788666145113995
9,3.402784512511319,2.9510267358229654,3.7872177862596423
10,3.402784512511319,2.9510267358229654,3.7872177862596423
11,3.402784512511319,2.9510267358229654,3.7872177862596423
