year,mean,lower,upper
1,3.644690853806504,3.356810920842752,3.91597258484209
2,3.50189594316625,3.12338894778488,3.851525210852272
3,3.3737453031984073,2.9001513023953134,3.7965377586952456
4,3.3013281071042178,2.7738214755505948,3.7734015259590517
5,3.2352073565405295,2.6629508582926302,3.744210400399133
6,3.167326805635445,2.5588302392382736,3.7208718598020862
7,3.1016304984127405,2.452814217451463,3.7009526591887973
8,3.0290936032494815,2.3388745503160218,3.682836159791653
9,3.005499644579427,2.3027208975428017,3.6777835582821288
10,3.005499644579427,2.3027208975428017,3.6777835582821288
11,3.005499644579427,2.3027208975428017,3.6777835582821288
