"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(coef)","exp(-coef)","lower .95","upper .95"
"HDL",-0.416120802142376,0.659600584507646,0.126903071792575,-3.27904436247636,0.00104159260516748,0.659600584507646,1.51606900219235,0.514352602114431,0.845865130834966
"HeartRate",1.21713910734505,3.37751120147313,0.197110059534396,6.17492131157649,6.61964313987481e-10,3.37751120147313,0.296075998079249,2.29517820484314,4.97023799372307
"vitals_missing",0.0265887660863093,1.02694540114005,0.0944647199717714,0.281467685441239,0.778351709891957,1.02694540114005,0.973761602992588,0.85337288395321,1.23582185086223
"labs_missing",-0.344823790363779,0.708345159714357,0.147350418345769,-2.3401615973334,0.0192753976885957,0.708345159714357,1.41174113535731,0.53066448977963,0.94551807206682
"Active",-0.848828533579116,0.427915927581775,0.130124836194324,-6.5231861833932,6.88293356477197e-11,0.427915927581775,2.33690763896349,0.331585850832662,0.552231166131935
"Diabetes_comorbidity",0.382174552866037,1.46546786442463,0.208548830293713,1.83254229874027,0.0668706658490781,1.46546786442463,0.682375932134562,0.973776328870947,2.20543054702441
"Hypertension_comorbidity",0.238314585345474,1.26910837292946,0.162284662576479,1.4684972785593,0.141969194932234,1.26910837292946,0.787954773075621,0.923340221352936,1.74435817371807
"Ischemic_stroke_comorbidity",0.512299808583517,1.66912545327019,0.1251894942249,4.09219489027714,4.27309280919494e-05,1.66912545327019,0.599116140755492,1.30595282526626,2.13329281491191
"Intracranial_hemorrhage_comorbidity",0.351961282494536,1.42185347203328,0.580679394349608,0.606119807107589,0.544435199109801,1.42185347203328,0.703307351755437,0.455595731236564,4.43741492143912
"ADMCIDementia_comorbidity",0.357969505545168,1.43042199987574,0.158797053343529,2.25425785937454,0.0241799507426168,1.43042199987574,0.699094393183877,1.04784219800719,1.9526862934322
"Age",1.61323255423977,5.01900925287116,0.0919232150472102,17.5497838430829,5.97068162649015e-69,5.01900925287116,0.199242509749896,4.19153226758357,6.00984372116707
"Female",-0.201568726608693,0.817447395242251,0.153998673667964,-1.30889910807475,0.190568528800336,0.817447395242251,1.22332030882996,0.604471606251508,1.10546175714051
