year,mean,lower,upper
1,0.23809486685375994,0.23540721094521735,0.24092662436068
2,0.23864670062054746,0.23595194936823075,0.24147958102630884
3,0.23937049662245521,0.23666877625199972,0.24220483497741158
4,0.23988365073002893,0.2371784725287479,0.24271901255925596
5,0.24036085819183436,0.23765252653438607,0.2431971642542846
6,0.2410452560386917,0.2383320481144254,0.2438829036513635
7,0.24165276289968837,0.2389302336838215,0.24449158891280348
8,0.24227573750807646,0.23954609241401983,0.24511575279895362
9,0.2426957409154371,0.23996276198075014,0.24553640849191835
10,0.2432381729646867,0.2405008933917515,0.24607967463502192
11,0.24419450372270138,0.24144982140259333,0.24703745317550144
