year,mean,lower,upper
1,4.159772713939154,4.111252337101531,4.207509070686411
2,4.119690646091508,4.0724279345320475,4.166511256695332
3,4.0680841267521295,4.0224250447095775,4.113678273547626
4,4.032146987610358,3.9876493955886523,4.076640246390204
5,3.999202363919103,3.9558808036871875,4.042689589004648
6,3.9527382774466013,3.910582545368854,3.9948163166226696
7,3.9122532068258757,3.8711223172198714,3.953521809397471
8,3.8714626923875053,3.8308765214053295,3.9115287202919427
9,3.8443690053021617,3.804345224299101,3.883862438512093
10,3.8098540161681687,3.7705429849647816,3.8490711928490304
11,3.7502827406090846,3.7121920510025754,3.7885262148139245
