year,mean,lower,upper
1,6.841099946476076,1.9726590126552401,11.424205837454544
2,6.674207051633803,1.9609021783699234,11.000292731779247
3,6.464938408842952,1.9457159991468582,10.478525315160352
4,6.322868208417276,1.9351079174474848,10.130341594440582
5,6.195218352404198,1.9253592168915066,9.821695183032894
6,6.019321695354404,1.911570634697485,9.402991497479162
7,5.869933280190578,1.8995185120133184,9.053480642698121
8,5.722993804178845,1.887339447852662,8.715240679136128
9,5.627344577078991,1.8792297784157992,8.498055363534675
10,5.507714198167618,1.8688752897156506,8.254460553819742
11,5.30697278686749,1.8509414560536779,7.932885222658388
