"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(coef)","exp(-coef)","lower .95","upper .95"
"labs_missing_1:2",0.608337217280503,1.83737370410077,0.123530698386017,4.92458332405384,8.45403002082036e-07,1.83737370410077,0.544255095067561,1.44227466745109,2.34070680481909
"ADMCIDementia_comorbidity_1:2",0.679433707236265,1.97276025599341,0.127903754573147,5.31207007568885,1.08386906262017e-07,1.97276025599341,0.506903967150554,1.53533247670211,2.53481450218958
"Ischemic_stroke_comorbidity_1:2",0.697566834040154,2.00885886910599,0.0945770720820737,7.37564420935771,1.63552255804443e-13,2.00885886910599,0.497795049407844,1.66895749831515,2.41798485585147
"Age_1:2",-0.124741437028717,0.882725113108,0.0307160532557607,-4.06111540405415,4.88388209315517e-05,0.882725113108,1.13285550071084,0.831150997250479,0.93749947709767
"Female_1:2",0.379186896827,1.46109608444879,0.0475965144867835,7.96669463963149,1.62974709925199e-15,1.46109608444879,0.684417685218323,1.33095861084306,1.6039580424213
"Union_1:2",-0.242871200199832,0.78437253429138,0.0485171261250339,-5.00588595404283,5.56056742168934e-07,0.78437253429138,1.27490440611032,0.713221662320383,0.86262140517307
"labs_missing_1:3",-0.85210611764036,0.426515693104591,0.136246421331817,-6.25415412244207,3.9967616947755e-10,0.426515693104591,2.3445796161005,0.326559145539705,0.557067958283138
"ADMCIDementia_comorbidity_1:3",0.29603919525413,1.34452285471427,0.186904309237843,1.5839078106937,0.113214699689093,1.34452285471427,0.743758275654241,0.932126709249246,1.93937335869819
"Ischemic_stroke_comorbidity_1:3",0.464631905369723,1.59142828485353,0.143071879832713,3.2475417665092,0.00116406577820215,1.59142828485353,0.628366360908333,1.20227569538859,2.10654178201053
"Age_1:3",1.49513582619637,4.45994228870661,0.0741037637395985,20.1762468023932,1.58320596370314e-90,4.45994228870661,0.224218147963973,3.85702097797844,5.15711097558482
"Female_1:3",-0.351730150364345,0.703469927469339,0.0963110763306432,-3.65202180024267,0.000260183791268033,0.703469927469339,1.42152487398772,0.582459053004302,0.849621851186271
"Union_1:3",-0.214388210941554,0.807035024374921,0.0919853502141882,-2.33067777034441,0.0197703572151086,0.807035024374921,1.23910359500759,0.673898222633751,0.966474622862747
