year,mean,lower,upper
1,0.6941911132152772,0.5974462959698853,0.7108315211938957
2,0.690282734097337,0.5365777831528448,0.7152932231460069
3,0.6879388949216628,0.49139508586020064,0.7204237606302959
4,0.6857408746525363,0.4482034134633994,0.7248189473564867
5,0.6838469355448847,0.40909197847673945,0.7293446374975365
6,0.6822777274128812,0.37360676288038774,0.7341275952714138
7,0.6812231845900086,0.3363949592247951,0.7403735368455516
8,0.6809467021312257,0.31045455452109116,0.7457119520824437
9,0.6813707721024922,0.2833884785887882,0.753657387327054
10,0.682425811292677,0.25469967397986476,0.7641951628782129
11,0.6830467059856062,0.24361279885254636,0.7690255134561107
