"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(coef)","exp(-coef)","lower .95","upper .95"
"RespirationRate_1:2",0.376568482098769,1.45727533328043,0.35936871367281,1.04786106238958,0.29470262425059,1.45727533328043,0.686212122831262,0.720520613563645,2.94738465077933
"vitals_missing_1:2",-0.393256183219071,0.674855838697735,0.272614102899393,-1.4425379282898,0.149150679808353,0.674855838697735,1.48179795247781,0.395513639129736,1.15149101817708
"Active_1:2",-0.893204354563694,0.409341972150486,0.349004338610939,-2.55929298219818,0.0104885304420892,0.409341972150486,2.44294518528477,0.206544315088984,0.811258591609555
"Age_1:2",0.563768059884902,1.75728158300599,0.185956456669625,3.03172081239699,0.00243163995568879,1.75728158300599,0.569060763892722,1.2205482000454,2.5300422890773
"Female_1:2",-0.303057350911504,0.73855673825372,0.267740868194392,-1.13190546125917,0.257674182429035,0.73855673825372,1.35399211489756,0.437000993793558,1.24820323836072
"RespirationRate_1:3",0.467435254907952,1.59589587378186,0.115832648527318,4.03543613006235,5.45009645763631e-05,1.59589587378186,0.626607297147938,1.27176720796192,2.00263351972686
"vitals_missing_1:3",0.043679743742526,1.04464774633344,0.0947336984650203,0.461079261659507,0.644741739854282,1.04464774633344,0.957260477045828,0.86762568711693,1.25778769591969
"Active_1:3",-0.982477278996189,0.374382499224249,0.130194503939817,-7.5462269855135,4.48048882381775e-14,0.374382499224249,2.67106502593492,0.290063963159419,0.483211544787318
"Age_1:3",1.29136791405656,3.63775929591209,0.0700601550011507,18.4322731520556,7.23770258342511e-76,3.63775929591209,0.274894493740624,3.17101756087794,4.17320069691793
"Female_1:3",-0.326755959490104,0.721259738145029,0.0852251833739775,-3.83403058291189,0.000126060458022561,0.721259738145029,1.38646308273334,0.610306341021115,0.852384409112731
