year,mean,lower,upper
1,0.4816677841098097,0.4789505876472277,0.4848435122097724
2,0.467763515466774,0.4642633027964845,0.4724077597607799
3,0.46388252861676427,0.4596549952870306,0.47005250608470817
4,0.46127369977179233,0.45623354883060374,0.46921075207807095
5,0.46025559483220946,0.45432552702161266,0.46969785615750753
6,0.45993284179390487,0.45263674325049275,0.4715901733915478
7,0.4599310878982963,0.45216637439458085,0.4723076696784887
8,0.46074451748820544,0.4503911098022537,0.4776030827323071
9,0.461935755755561,0.4493880581603301,0.48282945662965965
10,0.46256618257379134,0.4489330277824418,0.48525195857600834
11,0.46256618257379134,0.4489330277824418,0.48525195857600834
