year,mean,lower,upper
1,0.4685066994698556,0.43331344227864443,0.5100168838998984
2,0.46278812853558104,0.42700727344292644,0.5062502187466315
3,0.4628739142042373,0.42628855668717847,0.5083545893646171
4,0.46393213166702435,0.4266260182511486,0.5111078918035674
5,0.46582398159407784,0.4277470551327759,0.5137749945747311
6,0.469299666590417,0.4297161254012388,0.5185297649036738
7,0.470480259242755,0.4309000396845638,0.5201790685442068
8,0.47744569978435025,0.43615602531968983,0.5320354167312114
9,0.4841142704813697,0.441449603341865,0.5425864976713339
10,0.4873027923154224,0.44401383033598596,0.5481303836427275
11,0.4873027923154224,0.44401383033598596,0.5481303836427275
