year,mean,lower,upper
1,2.1366310275825233,2.1103055580941295,2.167419809357849
2,2.145003839085921,2.097508891957933,2.198018743812529
3,2.1351231866572933,2.0703552905044824,2.206529969218558
4,2.1213107594373026,2.0388312202528525,2.21179081771392
5,2.105507211516436,2.006976047382828,2.2127058944302704
6,2.0806723756805128,1.9599058837713437,2.2109095665502125
7,2.0726062946381165,1.9449281373853995,2.2107065320360255
8,2.028232631885735,1.8646131335015863,2.2096280311135166
9,1.9883012771958177,1.7943595263052379,2.20717887735171
10,1.9697875803435467,1.762410563932207,2.2041075783454915
11,1.9697875803435467,1.762410563932207,2.2041075783454915
