year,mean,lower,upper
1,2.1246344873615226,2.020406949318805,2.2558433328104694
2,2.0798009858724105,1.959181258368337,2.2538694235680814
3,2.034683638715121,1.8985314895148542,2.23636837662201
4,1.985915565096088,1.8290952695311975,2.217314509070874
5,1.9408473641938033,1.7655304365638476,2.201363259730331
6,1.8784464972490005,1.6766907612192892,2.1817453786002914
7,1.8589387759900693,1.648619372166783,2.1776397174752358
8,1.7595917402726202,1.5063636816458486,2.154689810988448
9,1.6749032814518232,1.388965126146867,2.134153246574193
10,1.6361707009060578,1.3342596345883035,2.125256705597426
11,1.6361707009060578,1.3342596345883035,2.125256705597426
