year,mean,lower,upper
1,0.5567054947766261,0.5537190040364504,0.5606713690915875
2,0.5595847328054615,0.5558357351757306,0.565979842554543
3,0.5632101700309544,0.5586806193222139,0.5715758348315558
4,0.5675441948413387,0.562173644835491,0.5780747163899965
5,0.5720258163269091,0.5658447653099261,0.5850568815814529
6,0.5762154690123791,0.5693536487628873,0.5912094864165534
7,0.5793917525579478,0.5720620765184466,0.5959667417725774
8,0.5831472218127391,0.5751675761450896,0.6012712103050226
9,0.5862289590476849,0.5777171484321789,0.6056934600731406
10,0.5881087011860336,0.5792313377289786,0.608465963645106
11,0.5881087011860336,0.5792313377289786,0.608465963645106
