year,mean,lower,upper
1,0.5690280995407556,0.5573362021526785,0.5797936370089276
2,0.5746027650050647,0.5611496673201078,0.5901370616548847
3,0.5802898244162582,0.5652709556511893,0.6000610296844501
4,0.5867869973320635,0.5701005110653108,0.6113211062294781
5,0.5933583937364102,0.5746591125568213,0.6219194926014391
6,0.5993832614559862,0.5792288951292812,0.6317643323539943
7,0.6039208870807571,0.5824389015086217,0.6394208699661085
8,0.609277253244817,0.5863649867724775,0.6484982302446729
9,0.6136787724109469,0.5895642476707369,0.6558422822904901
10,0.6163549898249212,0.591273551753641,0.6604461369638934
11,0.6163549898249212,0.591273551753641,0.6604461369638934
