year,mean,lower,upper
1,1.7751593064346571,1.7400246511272872,1.791992086747142
2,1.7415929592528747,1.681753983598819,1.767910776251817
3,1.711817357994204,1.632195392696945,1.7471462626787
4,1.679927601613851,1.5817193695813616,1.7243046096116887
5,1.649335853514854,1.5344212258499208,1.7017080993624643
6,1.6226655780115882,1.4951133700780337,1.6814346281146257
7,1.6032559244581275,1.467016994680279,1.6660705951486456
8,1.58098318891924,1.4349889898590886,1.6487246625144112
9,1.5631439480901295,1.40933706445055,1.6349231108344953
10,1.5525270006345093,1.3942683373939198,1.626632698557757
11,1.5525270006345093,1.3942683373939198,1.626632698557757
