year,mean,lower,upper
1,1.7317601476510347,1.6970310099181585,1.763235593007727
2,1.6892215995384394,1.6373578208656165,1.732734268938148
3,1.6529453120247783,1.590149228330694,1.7083177491092498
4,1.6148115257734914,1.5362673713510457,1.684208271463628
5,1.5787685629321986,1.489986171345783,1.6585834273470632
6,1.5477184260753958,1.4497284126970633,1.6358436747061236
7,1.5253553069622,1.4218591396370417,1.620371702504016
8,1.4999444389543155,1.3900038774197647,1.603038720785371
9,1.4797973910837379,1.3637497080524268,1.588273950428089
10,1.467876309051121,1.3488973377895632,1.5794366958645654
11,1.467876309051121,1.3488973377895632,1.5794366958645654
